"","mpg","hp"
"Mazda RX4",21,110
"Mazda RX4 Wag",21,110
"Datsun 710",22.8,93
"Hornet 4 Drive",21.4,110
"Hornet Sportabout",18.7,175
"Valiant",18.1,105
"Duster 360",14.3,245
"Merc 240D",24.4,62
"Merc 230",22.8,95
"Merc 280",19.2,123
"Merc 280C",17.8,123
"Merc 450SE",16.4,180
"Merc 450SL",17.3,180
"Merc 450SLC",15.2,180
"Cadillac Fleetwood",10.4,205
"Lincoln Continental",10.4,215
"Chrysler Imperial",14.7,230
"Fiat 128",32.4,66
"Honda Civic",30.4,52
"Toyota Corolla",33.9,65
"Toyota Corona",21.5,97
"Dodge Challenger",15.5,150
"AMC Javelin",15.2,150
"Camaro Z28",13.3,245
"Pontiac Firebird",19.2,175
"Fiat X1-9",27.3,66
"Porsche 914-2",26,91
"Lotus Europa",30.4,113
"Ford Pantera L",15.8,264
"Ferrari Dino",19.7,175
"Maserati Bora",15,335
"Volvo 142E",21.4,109
